x,y
261,380
262,380
263,380
259,381
260,381
261,381
262,381
263,381
264,381
257,382
258,382
259,382
260,382
261,382
262,382
263,382
264,382
254,383
255,383
256,383
257,383
258,383
259,383
260,383
263,383
264,383
265,383
251,384
252,384
253,384
254,384
255,384
256,384
257,384
258,384
263,384
264,384
265,384
248,385
249,385
250,385
251,385
252,385
253,385
254,385
255,385
264,385
265,385
244,386
245,386
246,386
247,386
248,386
249,386
250,386
251,386
252,386
264,386
265,386
266,386
240,387
241,387
242,387
243,387
244,387
245,387
246,387
247,387
248,387
249,387
264,387
265,387
266,387
236,388
237,388
238,388
239,388
240,388
241,388
242,388
243,388
244,388
245,388
265,388
266,388
232,389
233,389
234,389
235,389
236,389
237,389
238,389
239,389
240,389
241,389
265,389
266,389
227,390
228,390
229,390
230,390
231,390
232,390
233,390
234,390
235,390
236,390
237,390
265,390
266,390
227,391
228,391
229,391
230,391
231,391
232,391
233,391
265,391
266,391
227,392
228,392
265,392
266,392
227,393
228,393
265,393
266,393
227,394
228,394
229,394
264,394
265,394
266,394
227,395
228,395
229,395
264,395
265,395
266,395
228,396
229,396
264,396
265,396
228,397
229,397
230,397
263,397
264,397
265,397
228,398
229,398
230,398
263,398
264,398
265,398
229,399
230,399
263,399
264,399
229,400
230,400
231,400
262,400
263,400
264,400
229,401
230,401
231,401
262,401
263,401
264,401
230,402
231,402
232,402
261,402
262,402
263,402
230,403
231,403
232,403
261,403
262,403
263,403
231,404
232,404
233,404
260,404
261,404
262,404
231,405
232,405
233,405
234,405
259,405
260,405
261,405
262,405
232,406
233,406
234,406
235,406
258,406
259,406
260,406
261,406
233,407
234,407
235,407
236,407
237,407
256,407
257,407
258,407
259,407
260,407
234,408
235,408
236,408
237,408
238,408
255,408
256,408
257,408
258,408
259,408
236,409
237,409
238,409
239,409
240,409
241,409
252,409
253,409
254,409
255,409
256,409
257,409
237,410
238,410
239,410
240,410
241,410
242,410
243,410
244,410
249,410
250,410
251,410
252,410
253,410
254,410
255,410
256,410
240,411
241,411
242,411
243,411
244,411
245,411
246,411
247,411
248,411
249,411
250,411
251,411
252,411
253,411
243,412
244,412
245,412
246,412
247,412
248,412
249,412
250,412
