x,y,R,G,B,current_assignment,distance_to_EyeWhite_R_px,proposed
269,142,255,252,243,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,143,254,254,255,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,144,253,254,255,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,144,254,250,236,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,145,254,253,250,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,145,255,253,250,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,146,255,253,247,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,146,254,254,255,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,147,255,254,248,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,147,253,255,255,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,147,255,253,244,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,148,255,254,250,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,148,254,254,255,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,148,255,255,254,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,149,255,254,252,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,149,254,254,255,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,149,254,255,255,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,150,254,254,253,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,150,254,255,255,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,150,253,255,255,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
272,150,254,253,242,UNASSIGNED/TRANSPARENT,4.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,151,255,254,253,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,151,254,254,255,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,151,253,255,255,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
272,151,254,254,251,UNASSIGNED/TRANSPARENT,4.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,152,255,254,254,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,152,254,254,253,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,152,254,254,254,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
272,152,255,255,255,UNASSIGNED/TRANSPARENT,4.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,153,255,255,253,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,153,255,254,250,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,153,255,253,250,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
272,153,254,255,255,UNASSIGNED/TRANSPARENT,4.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,154,255,255,254,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,154,255,254,250,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,154,255,253,247,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
272,154,254,254,255,UNASSIGNED/TRANSPARENT,4.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,155,254,254,254,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,155,255,254,250,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,155,255,253,246,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
272,155,254,254,255,UNASSIGNED/TRANSPARENT,4.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
273,155,255,251,237,UNASSIGNED/TRANSPARENT,5.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,156,254,254,254,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,156,254,254,250,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,156,255,253,247,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
272,156,254,254,253,UNASSIGNED/TRANSPARENT,4.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
273,156,255,252,238,UNASSIGNED/TRANSPARENT,5.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
269,157,253,254,252,UNASSIGNED/TRANSPARENT,1.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
270,157,254,254,249,UNASSIGNED/TRANSPARENT,2.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
271,157,255,253,247,UNASSIGNED/TRANSPARENT,3.0,TRANSFER_TO_EYEWHITE_R_FOR_HUMAN_REVIEW
